Depth,Chor(P),Actino(C),Labr(F),Kyphos(F),Monacanth(F),Cheilodactyl(F),Odac(F),Taxon,,,
1.5,7,7,1,3,0,0,2,7,,,
1.6,3,3,2,0,0,0,1,5,,,
1.9,4,4,2,0,0,0,1,4,,,
2,143,143,35,35,4,17,12,143,,,
2.1,155,155,35,36,9,18,21,155,,,
2.2,105,104,13,30,5,14,11,105,,,
2.3,97,96,17,19,6,19,11,97,,,
2.4,5,5,1,0,0,1,0,5,,,
2.5,50,50,21,7,0,4,6,50,,,
2.6,30,30,12,6,1,2,2,30,,,
2.8,8,8,4,1,0,0,2,8,,,
2.9,8,8,3,1,0,1,0,8,,,
3,261,261,63,69,17,28,16,261,,,
3.1,210,210,43,49,26,24,4,211,,,
3.2,109,109,18,29,11,11,1,109,,,
3.3,75,75,16,23,5,10,2,75,,,
3.5,179,179,42,35,14,12,18,179,,,
3.8,4,4,1,0,0,1,2,4,,,
4,289,287,78,42,21,24,30,294,,,
4.1,167,164,49,36,10,17,13,170,,,
4.2,117,116,37,20,8,13,8,118,,,
4.3,143,143,42,31,6,19,9,144,,,
4.4,19,18,6,3,1,2,0,19,,,
4.5,117,115,27,18,14,10,8,117,,,
4.6,66,66,14,9,11,3,6,68,,,
4.8,45,45,9,11,4,5,3,45,,,
4.9,140,140,27,26,13,8,13,140,,,
5,3273,3266,787,629,345,284,284,3281,,,
5.1,3676,3668,882,681,382,335,340,3685,,,
5.2,3215,3208,782,617,339,290,277,3217,,,
5.3,3227,3224,839,617,332,284,269,3237,,,
5.4,788,788,202,145,78,81,63,793,,,
5.5,149,149,32,28,6,15,12,152,,,
5.6,28,28,9,3,2,2,5,28,,,
5.7,13,13,4,2,3,0,1,13,,,
6,794,792,206,148,94,62,62,798,,,
6.1,301,301,63,56,39,25,22,301,,,
6.2,299,297,54,52,51,28,19,299,,,
6.3,323,322,74,60,48,24,24,324,,,
6.5,174,174,36,36,23,17,18,175,,,
6.6,59,59,12,11,13,5,6,59,,,
7,433,432,97,91,41,35,43,434,,,
7.1,163,163,37,25,26,9,21,163,,,
7.2,136,135,32,20,22,13,12,136,,,
7.3,114,114,32,14,15,10,15,114,,,
7.4,13,13,4,3,0,2,1,13,,,
7.5,186,184,41,32,22,18,24,187,,,
7.7,32,32,9,10,2,4,3,32,,,
7.8,26,26,7,4,4,1,4,26,,,
8,475,475,94,77,66,42,59,475,,,
8.1,46,46,9,6,5,2,11,47,,,
8.2,74,73,11,12,7,6,12,74,,,
8.3,60,59,10,5,8,3,12,60,,,
8.5,50,50,16,5,2,5,7,50,,,
8.6,31,31,6,7,6,1,2,31,,,
8.9,38,38,5,4,5,2,6,38,,,
9,274,273,47,54,38,22,23,277,,,
9.1,67,67,18,10,8,6,2,67,,,
9.2,55,55,7,7,6,5,2,55,,,
9.4,36,36,8,5,8,2,4,36,,,
9.5,40,40,9,6,11,4,5,40,,,
10,348,348,70,58,39,33,34,349,,,
10.1,342,341,52,49,43,32,27,342,,,
10.2,330,330,62,43,31,38,38,333,,,
10.3,279,278,51,42,32,22,26,280,,,
10.4,90,90,12,10,15,5,3,90,,,
10.5,8,8,3,1,0,1,1,8,,,
11,37,37,8,1,1,4,1,37,,,
11.1,35,35,12,0,2,4,1,36,,,
11.2,61,61,11,4,6,9,1,61,,,
11.3,13,13,3,0,0,0,2,13,,,
12,67,67,11,9,0,0,9,68,,,
12.1,97,97,19,8,0,0,4,98,,,
12.2,110,110,19,7,0,0,3,110,,,
12.3,113,113,17,13,0,0,4,114,,,
12.5,9,9,0,4,0,3,0,9,,,
13,31,31,5,4,0,0,3,32,,,
13.1,10,10,4,0,0,0,1,10,,,
13.2,16,16,3,2,0,0,2,16,,,
13.3,21,21,7,4,0,0,0,21,,,
15,16,16,2,5,0,2,0,16,,,
15.1,12,12,1,4,1,2,0,12,,,
15.5,18,18,3,4,1,1,0,18,,,
15.7,17,17,4,5,1,2,1,17,,,
17,69,69,9,10,12,4,6,71,,,
17.1,89,89,13,10,13,9,4,91,,,
17.2,29,29,3,3,5,4,1,29,,,
18,44,44,5,1,5,2,3,44,,,
18.1,42,42,4,0,3,6,0,42,,,
,,,,,,,,,,,